"","kFold","undersamplingFactor","kSMOTE","nRatioSMOTE","AUCAverage"
"1",10,0.99,3,0.9,0.941292036289062
"2",10,0.95,6,1.1,0.942679111226328
"3",10,0.85,5,1,0.943198701288801
"4",10,0.85,9,0.9,0.944183781455991
"5",10,0.9,4,1,0.941081762460983
"6",10,0.8,8,1,0.944167309438084
"7",10,0.8,10,1.1,0.94294815266882
"8",10,0.85,10,1,0.943048878464032
"9",10,0.99,14,1,0.919292096967153
"10",10,0.95,5,1.1,0.942617853819785
"11",10,0.75,40,0.9,0.942796025653136
"12",10,0.8,60,1,0.941453198718518
"13",10,0.99,60,0.9,0.938170557647123
"14",10,0.95,4,1.1,0.941848625798382
"15",10,0.75,30,1,0.941070182482527
"16",10,0.8,10,1.1,0.943638011801423
"17",10,0.75,60,1,0.941611442559983
"18",10,0.85,12,1.1,0.940479293653895
"19",10,0.8,7,0.9,0.941902069974483
"20",10,0.8,18,1.1,0.939483782226486
"21",10,0.9,8,1,0.941624462143347
"22",10,0.95,2,1,0.946306474179253
"23",10,0.99,4,1,0.940446349802401
"24",10,0.85,18,0.9,0.942942398256157
"25",10,0.95,4,1.1,0.944771583840168
"26",10,0.99,9,1.1,0.940565138493695
"27",10,0.9,24,0.9,0.940276258483348
"28",10,0.95,16,1,0.946163238616571
"29",10,0.9,9,1.1,0.943067897168813
"30",10,0.75,22,1,0.942445500429894
"31",10,0.9,2,0.9,0.943811901862252
"32",10,0.75,9,1.1,0.942544320012213
"33",10,0.8,9,1.1,0.942793046256253
"34",10,0.75,70,0.9,0.940403457709584
"35",10,0.75,9,1.1,0.940829053331608
"36",10,0.95,2,1,0.940821272311899
"37",10,0.95,8,1.1,0.94487335304711
"38",10,0.85,35,0.9,0.945195049068351
"39",10,0.8,18,1.1,0.940692252029546
"40",10,0.9,60,1,0.941057936828137
"41",10,0.85,60,1,0.938600403280217
"42",10,0.85,20,0.9,0.943775639664326
"43",10,0.75,9,1.1,0.941722282447844
"44",10,0.8,55,1,0.940813446288761
"45",10,0.75,65,1,0.938564861919081
"46",10,0.8,50,0.9,0.941556159603056
"47",10,0.95,24,0.9,0.940433064254475
"48",10,0.95,18,0.9,0.939691485181731
